Re,alpha_deg,CL,CD,CDp,CM
1370000,-6.0,-0.4171,0.00850,,-0.0545
1370000,-5.5,-0.3621,0.00819,,-0.0541
1370000,-5.0,-0.3069,0.00791,,-0.0538
1370000,-4.5,-0.2513,0.00766,,-0.0535
1370000,-4.0,-0.1954,0.00743,,-0.0532
1370000,-3.5,-0.1398,0.00722,,-0.0529
1370000,-3.0,-0.0844,0.00704,,-0.0527
1370000,-2.5,-0.0293,0.00688,,-0.0525
1370000,-2.0,0.0261,0.00674,,-0.0524
1370000,-1.5,0.0818,0.00664,,-0.0522
1370000,-1.0,0.1372,0.00656,,-0.0520
1370000,-0.5,0.1919,0.00644,,-0.0516
1370000,0.0,0.2466,0.00632,,-0.0513
1370000,0.5,0.3014,0.00625,,-0.0509
1370000,1.0,0.3557,0.00620,,-0.0505
1370000,1.5,0.4102,0.00619,,-0.0501
1370000,2.0,0.4647,0.00624,,-0.0496
1370000,2.5,0.5183,0.00631,,-0.0488
1370000,3.0,0.5707,0.00643,,-0.0478
1370000,3.5,0.6231,0.00663,,-0.0468
1370000,4.0,0.6774,0.00691,,-0.0463
1370000,4.5,0.7357,0.00723,,-0.0467
1370000,5.0,0.7998,0.00761,,-0.0485
1370000,5.5,0.8674,0.00808,,-0.0513
1370000,6.0,0.9317,0.00864,,-0.0535
1370000,6.5,0.9863,0.00925,,-0.0538
1370000,7.0,1.0312,0.00987,,-0.0520
1370000,7.5,1.0709,0.01051,,-0.0490
1370000,8.0,1.1098,0.01119,,-0.0459
1370000,8.5,1.1500,0.01188,,-0.0431
1370000,9.0,1.1912,0.01259,,-0.0405
1370000,9.5,1.2321,0.01334,,-0.0379
1370000,10.0,1.2714,0.01413,,-0.0351
1370000,10.5,1.3088,0.01495,,-0.0322
1370000,11.0,1.3440,0.01583,,-0.0290
1370000,11.5,1.3773,0.01681,,-0.0258
1370000,12.0,1.4092,0.01790,,-0.0227
1370000,12.5,1.4399,0.01914,,-0.0197
1370000,13.0,1.4693,0.02056,,-0.0169
1370000,13.5,1.4971,0.02220,,-0.0143
1370000,14.0,1.5227,0.02412,,-0.0119
1370000,14.5,1.5455,0.02636,,-0.0097
1370000,15.0,1.5653,0.02898,,-0.0077
1370000,15.5,1.5819,0.03201,,-0.0059
1370000,16.0,1.5951,0.03550,,-0.0043
1370000,16.5,1.6047,0.03953,,-0.0032
1370000,17.0,1.6102,0.04424,,-0.0025
1370000,17.5,1.6108,0.04975,,-0.0025
1370000,18.0,1.6068,0.05607,,-0.0030
800000,-6.0,-0.4056,0.00977,,-0.0574
800000,-5.5,-0.3529,0.00934,,-0.0565
800000,-5.0,-0.2990,0.00896,,-0.0558
800000,-4.5,-0.2445,0.00861,,-0.0552
800000,-4.0,-0.1899,0.00830,,-0.0547
800000,-3.5,-0.1355,0.00801,,-0.0542
800000,-3.0,-0.0810,0.00775,,-0.0538
800000,-2.5,-0.0263,0.00755,,-0.0534
800000,-2.0,0.0285,0.00740,,-0.0529
800000,-1.5,0.0828,0.00725,,-0.0525
800000,-1.0,0.1366,0.00705,,-0.0520
800000,-0.5,0.1903,0.00689,,-0.0513
800000,0.0,0.2430,0.00680,,-0.0507
800000,0.5,0.2952,0.00675,,-0.0500
800000,1.0,0.3482,0.00677,,-0.0491
800000,1.5,0.4015,0.00681,,-0.0481
800000,2.0,0.4540,0.00688,,-0.0468
800000,2.5,0.5063,0.00701,,-0.0455
800000,3.0,0.5611,0.00724,,-0.0449
800000,3.5,0.6222,0.00757,,-0.0458
800000,4.0,0.6922,0.00795,,-0.0488
800000,4.5,0.7670,0.00836,,-0.0530
800000,5.0,0.8371,0.00875,,-0.0563
800000,5.5,0.8941,0.00912,,-0.0569
800000,6.0,0.9389,0.00954,,-0.0548
800000,6.5,0.9781,0.01006,,-0.0517
800000,7.0,1.0161,0.01071,,-0.0485
800000,7.5,1.0548,0.01145,,-0.0454
800000,8.0,1.0942,0.01227,,-0.0425
800000,8.5,1.1336,0.01315,,-0.0396
800000,9.0,1.1724,0.01404,,-0.0367
800000,9.5,1.2094,0.01496,,-0.0336
800000,10.0,1.2437,0.01593,,-0.0302
800000,10.5,1.2756,0.01697,,-0.0267
800000,11.0,1.3061,0.01811,,-0.0231
800000,11.5,1.3355,0.01939,,-0.0197
800000,12.0,1.3636,0.02084,,-0.0166
800000,12.5,1.3900,0.02253,,-0.0137
800000,13.0,1.4143,0.02449,,-0.0111
800000,13.5,1.4359,0.02680,,-0.0088
800000,14.0,1.4544,0.02949,,-0.0067
800000,14.5,1.4698,0.03262,,-0.0048
800000,15.0,1.4818,0.03625,,-0.0033
800000,15.5,1.4902,0.04048,,-0.0022
800000,16.0,1.4945,0.04543,,-0.0016
800000,16.5,1.4942,0.05119,,-0.0017
800000,17.0,1.4897,0.05777,,-0.0024
800000,17.5,1.4816,0.06510,,-0.0038
800000,18.0,1.4705,0.07312,,-0.0057
560000,-6.0,-0.3970,0.01099,,-0.0599
560000,-5.5,-0.3441,0.01046,,-0.0590
560000,-5.0,-0.2917,0.00997,,-0.0580
560000,-4.5,-0.2389,0.00952,,-0.0571
560000,-4.0,-0.1856,0.00912,,-0.0562
560000,-3.5,-0.1320,0.00876,,-0.0556
560000,-3.0,-0.0781,0.00845,,-0.0549
560000,-2.5,-0.0241,0.00820,,-0.0543
560000,-2.0,0.0297,0.00799,,-0.0536
560000,-1.5,0.0830,0.00775,,-0.0528
560000,-1.0,0.1360,0.00754,,-0.0520
560000,-0.5,0.1881,0.00741,,-0.0512
560000,0.0,0.2400,0.00731,,-0.0503
560000,0.5,0.2924,0.00729,,-0.0492
560000,1.0,0.3445,0.00734,,-0.0478
560000,1.5,0.3954,0.00743,,-0.0461
560000,2.0,0.4470,0.00759,,-0.0446
560000,2.5,0.5041,0.00785,,-0.0444
560000,3.0,0.5715,0.00818,,-0.0465
560000,3.5,0.6487,0.00854,,-0.0510
560000,4.0,0.7270,0.00892,,-0.0559
560000,4.5,0.7944,0.00929,,-0.0587
560000,5.0,0.8458,0.00962,,-0.0581
560000,5.5,0.8878,0.00994,,-0.0554
560000,6.0,0.9277,0.01031,,-0.0523
560000,6.5,0.9674,0.01082,,-0.0491
560000,7.0,1.0069,0.01147,,-0.0461
560000,7.5,1.0462,0.01225,,-0.0433
560000,8.0,1.0852,0.01314,,-0.0404
560000,8.5,1.1228,0.01412,,-0.0374
560000,9.0,1.1582,0.01516,,-0.0340
560000,9.5,1.1912,0.01624,,-0.0304
560000,10.0,1.2216,0.01737,,-0.0265
560000,10.5,1.2499,0.01862,,-0.0227
560000,11.0,1.2767,0.02002,,-0.0189
560000,11.5,1.3023,0.02161,,-0.0155
560000,12.0,1.3265,0.02345,,-0.0124
560000,12.5,1.3487,0.02560,,-0.0096
560000,13.0,1.3684,0.02810,,-0.0072
560000,13.5,1.3850,0.03101,,-0.0050
560000,14.0,1.3986,0.03437,,-0.0032
560000,14.5,1.4089,0.03824,,-0.0018
560000,15.0,1.4160,0.04271,,-0.0008
560000,15.5,1.4195,0.04784,,-0.0004
560000,16.0,1.4196,0.05368,,-0.0006
560000,16.5,1.4168,0.06014,,-0.0014
560000,17.0,1.4121,0.06711,,-0.0027
560000,17.5,1.4063,0.07439,,-0.0043
560000,18.0,1.4001,0.08182,,-0.0062
